polygon,time,name
iu_field,2024-02-05T21:16:40.969533+00:00,Our_GPS
ABE_POLYGON,2024-02-05T21:16:41.969+00:00,Our_GPS
ABE_POLYGON,2024-02-05T21:16:41.969+00:00,Our_GPS
